lambda,epochs,executors,sample,gen,start,finish
0.002,1,1,1,1572021270.409061,1572022059.719110,1572022289.730135
0.002,1,1,2,1572021628.409568,1572022289.730206,1572022529.960231
0.002,1,1,3,1572021686.410092,1572022529.960292,1572022770.127426
0.002,1,3,1,1572025682.439573,1572026222.926528,1572026472.344203
0.002,1,3,2,1572026040.441514,1572026472.344255,1572026717.772747
0.002,1,3,3,1572026098.442221,1572026717.772815,1572026963.360265
0.002,5,1,1,1572029071.475099,1572030205.667794,1572030640.695117
0.002,5,1,2,1572029544.476156,1572030640.695185,1572031076.070352
0.002,5,1,3,1572029651.477840,1572031076.070407,1572031512.108003
0.002,5,3,1,1572033322.137671,1572033845.184395,1572034398.584452
0.002,5,3,2,1572033371.138493,1572034398.584538,1572034969.790254
0.002,5,3,3,1572033462.139225,1572034969.790320,1572035531.132877
0.006,1,1,1,1572037989.707303,1572039615.451671,1572039849.437639
0.006,1,1,2,1572038328.710245,1572039849.437698,1572040079.266030
0.006,1,1,3,1572038489.711355,1572040079.266098,1572040314.728818
0.006,1,3,1,1572041918.051082,1572043617.896178,1572043867.663029
0.006,1,3,2,1572042257.052244,1572043867.663090,1572044113.987877
0.006,1,3,3,1572042418.052954,1572044113.988026,1572044368.533985
0.006,5,1,1,1572045218.177489,1572046720.546073,1572047150.818193
0.006,5,1,2,1572045375.187632,1572047150.818546,1572047596.111269
0.006,5,1,3,1572045410.188545,1572047596.111329,1572048031.228507
0.006,5,3,1,1572049276.432470,1572050899.388965,1572051363.475639
0.006,5,3,2,1572049433.435349,1572051363.475700,1572051834.171281
0.006,5,3,3,1572049468.435837,1572051834.171343,1572052305.392689
